date,E,M
2017-01-03,100.0,99.86030963128356
2017-01-04,100.029132902418,99.85031506378978
2017-01-05,100.05827429209602,99.98120691624807
2017-01-06,100.08742417150667,100.00737351070042
2017-01-09,100.11658254312323,100.03550218988995
2017-01-10,100.32450173313117,100.23500054877236
2017-01-11,100.00347719812972,100.10048439810875
2017-01-12,100.03261111355644,99.81839043384657
2017-01-13,100.24627183287085,99.71193186191928
2017-01-16,100.58023004512,99.84216363812084
2017-01-17,100.60953198539084,100.0181052443979
2017-01-18,100.63884246216736,99.6223120971598
2017-01-19,100.66816147793645,99.92046233211197
2017-01-20,100.94516409407011,99.74687611999299
2017-01-23,100.97457235022134,98.92158363602235
2017-01-24,101.00398917385111,101.32068539639874
2017-01-25,101.0334145674554,100.49631527985669
2017-01-26,101.06284853353091,104.18717948042404
2017-01-27,101.24170360700437,104.72307275381996
2017-01-30,101.27119825372252,97.37935177633506
2017-01-31,101.30070149308729,96.6517644747092
2017-02-01,101.42482437151735,91.70478760223759
2017-02-02,101.54172546036514,85.1768816418622
2017-02-03,101.57130751215706,81.70437431934407
2017-02-06,101.60089818205925,82.0353982803021
2017-02-07,101.86600298759656,83.61827484992331
2017-02-08,102.20918987968679,82.86184735555413
2017-02-09,102.52846629317028,81.58623672488717
2017-02-10,102.6230566186337,80.29620637480126
2017-02-13,102.82592931606302,83.47161776601547
2017-02-14,103.24306110058062,83.47401611766729
2017-02-15,103.2731388008244,86.44464121747899
2017-02-16,103.54237437190905,88.20559793077952
2017-02-17,103.66195445149658,87.6163374719119
2017-02-20,103.69215418753151,90.64451498030706
2017-02-21,103.7223627216261,91.38022406440552
2017-02-22,103.75258005634343,91.85325483518969
2017-02-24,103.54261017786264,97.52294494508875
2017-02-27,103.57277514544681,106.15904398946759
2017-02-28,103.8307252077518,106.8945249902874
2017-03-01,103.86097411160648,100.0947641422939
2017-03-02,104.08094036800976,100.78445810568262
2017-03-03,104.4003485871236,106.23511084159941
2017-03-06,104.70500184676007,107.25945492128663
2017-03-07,111.80755414321433,110.32174953628216
2017-03-09,112.69363420214349,109.44957480259725
2017-03-10,112.45317759912734,110.10058132217155
2017-03-13,112.17443492863917,109.79434073931304
2017-03-14,112.20711459730485,110.26243065343353
2017-03-15,112.54727745440144,110.13461807323004
2017-03-16,112.31314754411922,110.42292428176965
2017-03-17,112.4397331352835,110.32950375371068
2017-03-20,112.77577435050088,114.27243673062614
2017-03-21,112.94348749904908,116.9839217881831
2017-03-22,113.46268961805963,120.36827117085932
2017-03-23,113.4957445927069,122.87588984774712
2017-03-24,113.52880919722764,122.4093153816823
2017-03-27,131.96153255210206,129.72446662171984
2017-03-28,132.13000672007766,129.62977729385855
2017-03-29,132.16850002600032,130.21628831590934
2017-03-30,132.2070045461402,130.5106632416869
2017-03-31,132.2455202837644,130.148613109215
2017-04-03,131.95331339672634,130.03901752289028
2017-04-04,131.99175522675552,130.19236484187442
2017-04-05,132.2951909121959,131.29734698129633
2017-04-06,132.333732341068,129.96229572740913
2017-04-07,132.66936452792385,125.50569992812481
2017-04-10,132.98775155280083,130.4369534944533
2017-04-11,133.02649474468862,129.8394230409589
2017-04-12,133.06524922359267,132.69298924443328
2017-04-13,133.10401499280124,133.64686890624952
2017-04-14,133.1427920556035,131.98713211406096
2017-04-17,133.22841685301006,129.20176463468246
2017-04-18,133.26723015768488,127.85579544315597
2017-04-19,132.70987024800868,121.011891365634
2017-04-20,132.8990938180895,114.20893210860963
2017-04-21,133.53512333895392,107.49211886607587
2017-04-24,133.57402599613,105.49674922003247
2017-04-25,133.4583148350405,108.69157404408263
2017-04-26,133.07948857532116,110.15214071543011
2017-04-27,132.3852993559201,120.6182542831091
2017-04-28,132.42386703599723,130.59541237618902
2017-05-02,132.68541667738376,125.1608268029032
2017-05-03,132.8190758687574,115.8673219915375
2017-05-04,132.85776992052274,109.92254563339198
2017-05-05,132.0307612739667,105.01290377530758
2017-05-10,132.06922566681038,107.12840029247783
2017-05-11,130.87437560908404,103.71857455485222
2017-05-12,130.91250311322037,103.53237433889899
2017-05-15,130.95064172500528,109.98771633461594
2017-05-16,130.98879144767477,106.76988331935272
2017-05-17,131.02695228446575,107.73061625513056
2017-05-18,131.3112523063964,98.34938720364124
2017-05-19,131.34950708539466,93.66648249707427
2017-05-22,131.42109817677505,90.26349977216132
2017-05-23,131.10097460611786,89.5566608223786
2017-05-24,131.1391681251189,94.86374138409326
2017-05-25,129.38442829313294,89.22185470779382
2017-05-26,130.83201009373022,84.84113753772473
2017-05-29,130.21482884082445,87.288676650987
2017-05-30,130.25276419984436,84.68645949359025
2017-05-31,131.23761289634558,80.48373729888596
2017-06-01,87.32461909678723,82.14078629318189
2017-06-02,87.3500592928556,82.2923664793121
2017-06-05,87.67015643103667,81.91476681057766
2017-06-06,87.69569729215942,81.96532128258995
2017-06-07,88.04891461785743,82.34373569214361
2017-06-08,88.07456582223314,81.74270103473847
